urlDrugName,highly_effective,benefitsReview
topamax,Effective,"I started Topamax right after approval due to ongoing generalized (Grand mal) seizures that were resistant to other drugs. My epileptologist was hoping this would be the one. We added it on to what I was currently taking at the time (tegratol and dilantin) and crossed our fingers. Guess what? After reaching 400mg a day- I went from having 3-4 generalized seizures A WEEK, to 3 TOTAL in many many years! Unfortunately, I continued having partial complex seizures until we found the Dilantin/Lamictal/Topamax combo (in the last 3 years) and I still have 1 or 2 of those a month.  I really owe my life to topamax. AWESOME drug. Awesome awesome awesome."
effexor,Not Effective,"helped the depression initially, was far more positive during the years I took it, but the efficacy of the drug began to deteriate, and the onset of new side effects led me to try to live without the treatment"
paxil,Not Effective,No treatment benefits
seasonique,Effective,Experienced 1 migrane in the past year since on seasonique - before seasonique I was getting a migrane at least 6-7 times a year during periods.  Not missing time with my family every month or work.
ambien-cr,Effective,Always feel refreshed and clear thinking the day after.  I feel much better than I do on days I don't take it.
cataflam,Effective,It eliminated the pain in my lower back for 8 hours at a time and after taking the full corse it seemed to have reduced the inflammation causing the pain.
synthroid,Effective,"correction of thinning of hair, feeling cold all of the time, weepiness and feeling emotional.  improvement in fingernails.  correction of insomnia"
tri-luma,Not Effective,"My melasma improved considerably, which speaks to the efficacy of the treament because I only used it for 7 days."
albuterol,Effective,to help clear the airways after suffering from an asthma attack. improved my breathing for up to 6 hours after taking 2 puffs.
synthroid,Not Effective,"Although the medication has decreased my TSH level, I am still fatigued and inspite of being active at my job, I cannot seem to lose weight.  I have extememly low energy level which I thought the synthroid would help."
copaxone,Effective,"No exacerbations since starting during summer of 2008 after 11 years on Avonex (another ""disease modifying medications"" for MS."
seroquel,Effective,Mood was more stable. Better quality of sleep.
lamisil,Not Effective,I received no benefit from the medication.  My prescribing physician told me it would take a full six months of this medication taken daily for it to be effective.  That's not going to work for me.
chantix,Effective,I feel that Chantix is the best way to quit smoking. It was prescribed my my doctor. I smoked for 30 years. The only time I quit during that 30 years was when I was pregnant. I always started back up within a year. This time I know I won't start smoking again.
xanax,Effective,It help me get through the day with out a fast heartbeat. It calmed my nerves.
aricept,Not Effective,"I believe I noticed some improvement in retaining information from conversations as well as from reading,including,but not limited to, books, magazines, newspapers. I also think I was clearer with regard to remembering events -the event itself, as well as the order in which things occurred in the particular event."
differin,Effective,Dramatic reduction in papules and pustules.
sonata,Effective,"I was able to go back to sleep after waking and then to get up in two hours without any grogginess or after effects. The sleep I had as a result of the pill was very restful. This drug allows you to take a pill in the early morning hours, go back to sleep and then get up at the normal time without any sort of hangover. It is wonderful."
armour-thyroid,Effective,"Lessening of most hypothyroid symptoms started within 2 weeks of taking the drug. Weight gain stopped despite positive dietary modifications and weight stability occurred, there were less incidences of dry skin, and menstrual irregularities went away."
ortho-tri-cyclen,Effective,"The treatment benefits were clearly protection from getting pregnant as long as the pill is taken regularly without skipping. This pill is also touted as being one that helps in the treatment of acne, although I honestly can't say that it changed my acne pattern whatsoever. I tend to break out around the time of my monthly cycle, and I continued to break out even during the time I was on this pill. I didn't notice any decrease in my break-outs."
prometrium,Effective,"ease side effects of hot flashes, lost libido, sleeplessness, and to help bring my hormones into balance along with the estridol and testosterone"
prempro,Effective,"Elimination of night sweats, insomnia, irritability, stabilization of skin tone, no vaginal dryness"
metrogel,Effective,"I'd had dry skin on my face for several years which I'd controlled using moisturisers. About five years ago, I started to get acne pimples and bumps on my cheeks and forehead which was diagnosed as rosacea. I was prescribed Metrogel which cleared the problems, including the dry skin. Symptoms reduced almost immediately. I've had about two years without having to get a repeat prescription, and symptoms have just begun to return, so I've requested more from my doc."
aygestin,Effective,hormone balance. my estrogen was high during peri-menapause and this product got me back into balance and normal monthly periods.
retin-a-micro,Not Effective,Did reduce slightly the sun damage brown spots and noticed a small lessening of tiny wrinkles.
duac,Not Effective,"Slight improvement of acne, but not enough to make it worth the treatment hassles."
pentasa,Not Effective,"5-aminosalicylic acid, or mesalamine, belongs to the group of medications known as anti-inflammatories. It is used to treat mild-to-moderate ulcerative colitis and mild-to-moderate Crohn's disease.5-aminosalicylic acid (or 5-ASA) acts by reducing inflammation in the bowel."
cymbalta,Effective,"Stabilized moods. Made me feel like ""me"".  Allowed me to work much more effectively. Increased focus. Completely stopped crying jags (would get so down I'd cry over very little)."
wellbutrin,Not Effective,Benefits included decreased anxiey attacks.  It took approximately 2 weeks to see results but after that time it was a noticable difference.
prozac,Effective,"I have taken this drug off and on for 20 years. It is so effective for my depression that I start feeling like I'm ""cured"" and don't need to take it any more. I have found that when I stop taking it, I'll be fine for a few days or weeks, and then I start feeling symptoms of depression again. For the last 3 years, I have taken it regularly and am not planning on stopping. It doesn't make me feel happy every day, because that's not its purpose, however it does keep me from entering a depressive state."
amoxil,Effective,"sore throat went away, cough cleared up; maybe it would have anyway, but at the time it seemed wisest to avoid getting a worse lung infection than letting it heal itself."
prozac,Effective,"this anti-depressant has basically saved my life.  i have suffered with severe depression and anxiety since childhood.  whether these problems were caused by 'nature or nurture' can be difficult to ascertain, but in my particular case, i believe it was both.  while i was a victim of severe sexual, physical and verbal abuse from a very young age through my teen years, i also seem to have been born with an unusually 'sensitive' disposition, and can get very emotionally and mentally disturbed at times with very little provocation.  everyone who knows me well considers me a very emotional person.  at any rate, it has been the prozac that has helped me in dealing with the stresses of even everyday life.  i first started feeling suicidal in adolescence, and unfortunately, this is still a constant problem.  the prozac, i am convinced, has helped me keep these feelings in check, and although i was just hospitalized for my depression late last year, i am still alive and kicking.  i completely believe that it is the prozac that has saved my life.  before the advent of these types of antidepressants, all that was available were the tricyclics.  those never worked for me the way the ssri's have.  although they did achieve in putting me into a stupor-like condition, they never seemed to alleviate my depression.  the prozac does.  while it doesn't rid me of the problem completely, it has been absolutely invaluable to me, and i believe it is the main reason i am alive to write these words to you today.  i am fortunate in that i have never had a single side effect from the prozac.  actually, there has been a complete loss of libido, which could be a major problem for alot of people;  for me, however, this is not a problem, because i am celibate, and have been for 20 years.  trust me, i had enough sex in my younger years to last me for the rest of my life.  i feel i should mention that i have known many people who take prozac and who have not had any sexual problems at all."
voltaren,Effective,My knee and leg pains lessened considerably after taking Voltaren orally
spironolactone,Effective,Reduced acne significantly and quickly.  I had severe cystic acne for about 3-4 months before trying spiro.  Within 2 months it was nearly gone.  I started on 50mg and that was enough to reduce cystic acne.  I just recently went to 75mg and that was to reduce small comedones.
spironolactone,Not Effective,lower blood pressure and preventing hypokalemia
lipitor,Not Effective,"It lowered the cholesterol levels overall but it is hard to tell if it was really necessary as numbers picked for ""normal"" ranges seem rather arbitrary. some people naturally produce more cholesterol."
efudex,Effective,made the affected area peel and removed the discoloration.
prednisolone,Not Effective,"I have not gotten any benifit from this medecine, only side effects , I am still suffering of my leg pain, it turned that the doctor has given this medecine when not needed, I suffer from hernia and not tendonitis"
zmax,Not Effective,"The medicine kept the illness from getting worse, my cough loosened up immediately.  The dose and length of treatment was very managable, it was easy to remember to take one dose each day.  The packaging is very convenient - a blister pack so you know immediately how many you have taken."
wellbutrin,Effective,"freedom from depression, in addition, a greater interest in  sex"
retin-a,Not Effective,"After using the Retin A for several months I did notice a decrease in the amount of whiteheads on my checks. My skin seemed to appear brighter and my complexion was not as splotchy. While I did not get any more whiteheads, it did not completely remove the ones I had."
byetta,Not Effective,"I initially had severe cramping and nausea, but I continued under doctor's orders, I only lost about 20 pounds, tops.  I now have a larger host of problems I believe were started with this medication.  I have not used in 3 years."
zovirax,Effective,"I have been plagued with peristent mutiple warts on my elbow for over 10 years. At Christmas - I decided to 'attack' the area again to clear it for the Summer. I used the freezing technique, but warts were clearly trying to spread outside the treated area onto fresh skin areas..  I then added the salicylic acid to the new growths but this just made my arm/skin sore.  I could see the only solution was to control the virus itself to prevent any new spread as the thickened areas died off with the cryotherapy. 
I used a thin smear of Acyclovir around the treated areas and all the new wart 'blistering' stoped iritating within an hour or so and died back.  If I left the cream off - they would start again.  I persisted with the cream daily for 2 weeks and for the first time in 10 years or more my arm is 'wart free' and I have healthy unbroken wart free skin."
wellbutrin,Not Effective,"I only started this medication to still treat my Anxiety and mild depression, but eliminate the desire not to want sex."
advair-diskus,Not Effective,"Advair helped with my asthma initially, which was agrivated by an upper resperitory virus."
wellbutrin,Not Effective,I didn't feel that there were any benefits. I initially started taking Wellbutrin because it was tauted as having little to no sexual side effects. I really was highly disappointed in the overall experience of this drug. I immediately switched back to Effexor.
prozac,Not Effective,"I felt better mood, optimism towards life in general, greater control of portion sizes. My recovery from anorexia was not easy, so I had a few months of moderate bulimia. It was then that my dosage grew bigger: 3 pills of 20 mg per day, though some days I would have 4 pills."
ortho-tri-cyclen,Effective,Of all of the birthcontrol pills I've taken this was by far the one with the least number of negative side effects and it actually had several positive side effects.  It helped control my acne and kept me thin.  After several years I did notice a decrease in my libido which came back after I stopped taking birthcontrol pills altogether.  I was put on the generic version of this pill at somepoint and I had a completely different reaction.  I instantly gained about 15 pounds (mostly water weight I think because I looked puffy).  I found out after this reaction that generic pills don't have to be identical to the brand name drugs.  I learned the hard way.
retin-a,Effective,My acne scars continued to get better and better and eventually completely disappeared.
protonix,Effective,"Within two days, the severe burning pain of the GERD disappeared. At three months of treatment, the pain from the ulcer has receded considerably. Because of the ulcer, however, I still have to be careful not to eat anything too acidic--very fresh pasta sauce with chunks of tomato--or too spicy."
seroquel,Effective,Seroqel seems to calm my mind.  It stopped terrible mood swings and irritability as well.
desyrel,Not Effective,"On the 3rd day, I was extremely elated and more uninhibited than usual; headache was still present, but seemed unimportant. In addition, I slept through the night with the first two 50 mg pills."
premarin,Effective,"I did not have to go through the change of life so early in my life, never really felt any change, at the time it was the best way to remove all the endrometriosis that i had, and it never effected me much as in pain or my womenhood."
lamictal,Effective,"According to my psychiatrist and to what I had read, lamictal could be very helpful for people with PTSD. I had tried dozens of meds over the years and, at the time, was totally crippled with anxiety despite being on all the other meds. listed above. Hours after starting Lamictal I was given relief and the anxiety and dissociative symptoms reduced markedly."
flovent,Effective,"having suffered from asthma for most of my adult life, I began to rely on the albuterol (which should be only used as a rescue inhaler) multiple time per day.  After beginning the Flovent inhaler, my asthma was almost non-existent."
renova,Not Effective,Reduced acne
effexor-xr,Effective,"Depression was gone for the first time in my life!  I finally knew what it was like to be ""normal""."
flexeril,Not Effective,"Some pain relief, only significant benefit was during severe breakthrough pain and/or muscle spasms.  Excellent sleep aid."
claritin,Not Effective,reduced headaches and sneezing
armour-thyroid,Effective,"Within about 2 days I noticed I had more energy.  I wasn't waking up tired, I wasn't craving sugar and coffee and my mood improved dramatically.  I stayed on the medication for about 2 years.  Gradually I noticed that I didn't need as much so I cut back on my dose. Eventually I went off for a year or two.  Then when I noticed the old symptoms of mild depression, tiredness, sugar cravings etc., I went back on.  I found that the natural form of Armour allowed my thyroid to kickstart.  After talking to many people who have used the synthetic form, they didn't experience this.  Their thyroid seemed to shut down and they had to always take the drug."
seroquel,Effective,This drug knocked me out i did not wake during the night nor did I remember any dreams. It was difficult to get up in the morning.. This drug is an effective sleep aid but with recent concerns i think there are better choices...
fosamax,Not Effective,bone scan showed no increase bone loss.
lybrel,Not Effective,i couldn't get pregnant
nexium,Effective,Had absolutely no problem with acid reflux while taking Nexium.
claritin,Effective,"I live in a home with 3 cats and a dog, and was unable to breath in the morning secondary to all the animal dander.  After starting the claritin, I noticed a decrease in my allergy symptoms after about a week."
ultram,Effective,The pain from the muscle spasms was drastically reduced.
provigil,Effective,"Immediately made me feel more focus, clear mind, energy, increase calmness. I started with 100mg once a day before work or in the morning on my days off and reduced to 50mg and still have all those benefits. Experienced little nausea, urine odor at the beginning. I don't feel like drinking alcohol anymore and if I drink too much, my hangovers are moderate. Very happy with it!"
zyrtec,Effective,reduced hives associated with allergy. Lasted for 24 hours so did not need more than once a day. Was the only effective treatment. Doctor had switched to generic brand which did not work as effectivly. Available as otc now but I do not feel it is the same as the perscription strength was
humira,Not Effective,Seemed to quiet the disease down especially during the first year.  Colonoscopy showed most of the colon healed after that time.  Fistulas no longer occurred and stayed healed and erythema on legs did not recur once I started taking this.
albuterol,Effective,"Having had asthma since I was a child, I have been using various medications for a long time. Thankfully I do not need to use albuterol daily, as I know some people do, but I use it as needed when I am experiencing an asthma attach. This happens on average once a month, less in warmer months, more during the winder.

As far as being effective albuterol, and the name brand inhaler is the best, and to my knowledge, still the only small inhaler that really works. I'm sure it has saved lives. With one inhalation I am able to breath again within minutes, this is even if I am having a bad attack, and am really strugling. So it is very effective"
dispermox,Effective,"I had an infected jaw, an abcess under a back molar that inflamed the entire left side of my lower jaw producing a large ping pong ball sized swelling. This was probably -- my dentist suggested -- due to an infected tooth root that had migrated to jaw tissue.
After taking the drug, the swelling started to lessen in about 36 hours and progressively lessened over the next 5 days until it was not visible."
premarin-vaginal,Effective,"restored moisture, decreased itching, decreased urinary symptoms"
neurontin,Not Effective,Less frequent and less severe migraines
doryx,Effective,90% of new breakouts ceased after only 5 days.  I'm in about 9 days and my skin is fairly clear.  I'm very happy with the results.  My skin is not oily anymore either.  Also it cleared up my scalp problem that was pretty bad.
renova,Not Effective,Not sure at this point.
lyrica,Effective,"Lyrica has made a huge difference with my fibromyalgia pain. I have had fibromyalgia for 13 plus years and was excited about the FDA finally approving Lyrica for fibromyalgia patients.  I would recomend that anyone suffering from fibromyalgia try this medication, along with a healthy diet and exercise. Lyrica is not a cure, but I have improved probably 75% over this last year."
mirtazapine,Not Effective,"6hrs sleep per night. Vivid dreams. No other side effects exceptr morning anxity ++. Food tasted better at first, but this faded in a week. To sleep was good, but morning psychedelic effect no good. I sincerely doubt that the mirt would have been manageable without adjunctive benzodiazapine therapy and i wonder if the overall treatment out come would not have been better with benzo monotherapy as i presented with anxiety and insomnia and the M caused anxiety."
accutane,Effective,"My oily skin vanished. The skin cleared up finally. the painful cysts went away for 4 yrs during each treatment. However they will come back (for me anyways) after 4 yrs with stress, mentral cycle, I get them on my jaw line even if i just hold a alcohol swabbed cell phone...Its from mechanical pressure. They last forever and scar me! So the benefits were great but so are the side effects..."
ortho-tri-cyclen-lo,Effective,"by taking as prescribed, the drug prevents pregnancy, regulates period, helps reduce acne."
valtrex,Effective,I always have at least three cold sores either inside my mouth or on my lips. I started this medicine while I had a cold sore with the help of the medicine and the Abreva the pain was decreased and it went away a lot faster.
effexor,Effective,"lifted mood from severely depressed to being able to live normally,still taking 75mg and pobably will be for forseeable future.happy to do that tho some of the side effects are not desirable it would be worse without it.helped with concentration and ablility to function.Also with confidence"
vyvanse,Effective,"Lasted all day long, could put it in a drink,"
acyclovir,Effective,The acyclovir was highly effective even though taken late - ie a week or more after I first got shingles.  It was still spreading 7-10 days later but once I starteed taking this medicine it did clear up.  I was also relieved that I had very little lasting nerve pain afterwards
chantix,Effective,I was able to quit smoking after 7 days without major withdrawals.
levaquin,Effective,"The sinus infections start lightening up within one day, the pressure disappeared within two days If the antibiotics were not prescribed in a timely matter, the infection would have lasted for month. I would have lost all sense of smell and taste for a very long period of time."
cipro,Effective,"By the 5th day, I was feeling much better."
desyrel,Effective,The medication took all my simptoms away completely!
oxycodone-and-acetaminophen,Not Effective,"IT WORKED FOR RELIEVING SOME OF MY NECK AND BACK PAIN.  PLEASE NOTE, MY CAUSE OF PAIN WAS DUE TO SURGERY PAIN AND NOT YOUR NORMAL KIND OF BACK PAIN.  I MUST SAY THAT IT JUST KIND OF TOOK THE EDGE OFF OF THE SEVERE PAIN I WAS FEELING.
AS TIME WENT ON I BEGAN TO HEAL AND FEEL MUCH BETTER AND NOW IT TENDS TO WORK MUCH BETTER."
celebrex,Not Effective,anti-inflammatory and pain reduction claims.  I didn't notice much difference in the pain but the inflammation went down after a few weeks (not while taking the medication).
doxycycline,Not Effective,"The drug relieved the sore throat and lungs, albeit within two or three days.  I continued to have coughing fits only at night."
synthroid,Effective,"Hypothyroidism treatment -- restores proper thyroxine levels in body, not produced by my damaged thyroid gland. Without the medication, I would have not developed properly, and today I would suffer dramatic effects on energy levels, puffiness, cholesterol plaqueing and worse. Asthma and allergy treatment -- Ability to exercise without wheezing, ability to work outside among natural allergens, ability to clean around dust indoors,"
asmanex,Effective,Preventative control of asthma symptoms.
zyrtec,Effective,"no itching, no allergy, no dermagraphism"
zovirax,Not Effective,This ointment seemed to lessen the severity of the outbreak and duration.
elidel,Not Effective,"Decreased eczema patches, however did not fully heal them. The treatment did not help my skin being scaly from eczema."
claripel-cream,Effective,hydeoquione mitigated uneven tone of face as well as freckles.  It additionally left the skin with a taught texture.  My skin seemd to look 10 years younger
proquin-xr,Effective,No diarrhea and better drug efficacy.
amoxil,Effective,"cleared up cough and chest infection, although the treatment worked it was difficult at first to decide how much better it was making me as I had hot flushes, dizziness and diarroheah, all in all it took a good 5 days to start working"
augmentin,Effective,"It truly cleared my headache in three days. I felt no reason to finish the meds unless it was necessary. That pretty much sums it up as to say I would recommend it to others in need. I thank the drug and pharmecutical industry much indeed. Again, Thank you."
lexapro,Effective,"Immediate benefits were realized, faster than my doctor anticipated. Also, I wouldn't always take Lexapro consistently, and when symptoms returned, by resuming Lexapro, I experienced results in 2-3 days."
effexor,Effective,"I've taken various anti-depressants through the years, but this was the closest I ever came to a ""cure"". 
Granted, it was after I stopped taking the medication that this ""cure"" took place, but I never experienced this with other anti-depressants. While taking it, Effexor made me so sleepy all the time that I slept a good deal more than normal (10-12 hours daily). This is why I stopped taking it. But when I did, I felt better than I had in years. I remained depression-free for about 3 years. I then dealt with depression again for about 8-10 months (I didn't want to lose another 6-8 weeks taking the Effexor ""cure"" so I delayed, hoping I would just ""snap out of it"" on my own). When I finally conceded this wasn't going to happen, I returned to my doctor, who then convinced me to try something new, so I tried Cymbalta, hoping to get Effexor's benefits, without the side-effects. It worked well as long as I used it, but when I stopped, there was no ""cure"" like I'd had with Effexor. Now I take 600-1000 mg of samE. It's not as good as the post-Effexor experience, but I feel less dependant on the medical system for my maintenance, and I focus on physical health (good food, exercise, vitamins)to maintain my emotional health. Those things alone, unfortunately, do not completely do it for me, and that's where the samE comes in. It makes the difference."
prednisone,Effective,"I was given a short course of prednisone to take, along with whatever antibiotic I was currently on, whenever the antibiotic alone was not clearing up the sinus infection.  The prednisone worked like a charm, but at a cost."
lipitor,Effective,"i was told that i have high cholestrol and was very concerned about it so my doctor prescribed Lipitor. I had taken other drugs to lower my cholestrol, but they did not work as well as Lipitor, after taking the lipitor for 3 months my numbers dropped from 311 to 174. that was my goal and it worked... yay"
methotrexate,Effective,Treatment benefits from taking methotrexate included significantly reduced inflammation in the joints which led to reduced pain.  Overall fatigue was also minimized.
sulfasalazine,Effective,"Significantly reduced pain and swelling in lower back, hips, knees with in two weeks. Virtally no pain after one month. I have completey stopped all anti inflamitory drugs. Much increased range of motion and can now sit/stand for much longer periods of time with no pain."
evista,Not Effective,I didn't take the medicine long enough to get any benefits
concerta,Not Effective,"The 2 first day we're fantastic. I was easy going, task didn't birding me and I would overall say that my focus was good. However my well being was so great that I was mostly in my mind with great Joy."
zoloft,Not Effective,"While I definitely did notice some improvement in my depression, I believe that Zoloft is far from being a truly effective antidepressant drug. My depression had somewhat subsided and my panic attacks were less severe, albeit not completely gone."
minocycline,Not Effective,"I originally took the medication in a smaller dose for 3-4 months and saw a reduction of pus-filled pimples. The physician increased the dose to hopefully increase the benefits, as I still had significant acne."
prempro,Effective,Within two weeks I found the hot flashes had subsided.  After 4 weeks I no longer had night sweats.  It took 3 or 4 months for my depression to get better.  The release from depression was tremendous and such a relief.
prilosec,Not Effective,Reduction of acid.
xanax,Effective,"All three medication, Alprazolam, Lipitor and Metformin were effective in treating insomnia, high cholesterol and insulin resistance.  Patient is evaluated every 3 months."
crestor,Not Effective,Cholesterol was lowered but would have needed larger dose to meet desirable levels.
avita,Not Effective,There were no treatment benefits--See below--I hoped to begin to see some effects after several months but because I had so much difficulty with it I gave up.
prinivil,Not Effective,decreased bp
spironolactone,Not Effective,"This drug works great for water retention because it is a potassium-sparing diuretic.  However, it had only a moderate impact on acne. It did seem to help with premenstrual symptoms and cyclical acne, but not a complete cure by any means. No apparent impact on blackheads/hard plugs."
byetta,Effective,Lowered HbA1C from 6.0 to 5.2 which has enabled me to go off numerous other anti diabetic medications which all had side effects.  The overall effect has been most agreeable including a loss of over 100 pounds of body fat.
lexapro,Not Effective,"symptoms were numbed, I was able to better ""deal"" with life and get through my days without crying or having a nervous epsiode"
nuvaring,Effective,"It was nice to not have to worry about a pill every day, you can put one ring in and then don't have to worry about it for 3 weeks."
vigamox,Effective,The rx cleared up my conjunctivitus. It was fast & easy to use. I was surpised @ how quickly it worked. It does sting when you use but on the other hand as soon as the pink eye goes away it doesnt sting anymore.
zyprexa,Effective,Went from severely depressed before starting the medication to almost entirely free of depression a week after starting the medication; helped with insomnia.
maxalt,Effective,Relief of migraine headache with in one hour and it stays away for 24 - 48 hours.  Migraines have been part of my life since I was 19.  This is the only medication that relieves my headaches so that I can function in my work and family life.
avita,Not Effective,"My skin felt much softer and my breakouts were far less frequent. My pores also looked smaller. The routine was also easy to maintain, as it only required nightly application."
cipro,Effective,"My daughter is playing now finally and she seems to be feeling alot better. When she was hospitalized she was very ill she wouldnt move she was vomitting, diarhea, dehyrated, she had just a blank stare in her  eyes. Her kidney infection is very rare and i cant remember the name of it but it stars with a P."
neurontin,Effective,"This has enabled me to take half the amount of hydrocodone that I used to take.  The gabapentin potentiates the hydrocodone wonderfully.  It allows me to sleep better also.  It doesn't knock me out, just allows me to go to sleep when I want, dream, and wake up not groggy. I've also had fewer migraines since I've been on the gabapentin."
vagifem,Effective,"Before the use of vagifem tablets, I had to endure a series of urinary infections after sometimes painful sexual intercourse.  I also had painful cracks in mucoal lining of vulva due to aging and dryness.  After beginning the use of this drug, I found that the ncreased mucous in vagina resolved both of these problems."
diltiazem,Not Effective,It seemed to reduced blood pressure.  No other benefits were observed.
tri-luma,Not Effective,My skin was lighter in the area where I put Tri-luma.  The dark spot never did completely go away.
allegra,Effective,"This drug alleviates my allergic responses--itchy eyes and sneezing.  It's effective because if I don't use it, my symptoms return."
imodium,Not Effective,"Diarrhea lessened after about 8 hours, but not until after another 2 severe occurences. Had hoped for quicker, more effective response."
claritin,Not Effective,No benefits.
prograf,Effective,"Have not had any issues with rejection.  Patient has now be diagonosed with the JC virus, which has been a side effect of Cellcept.  Blood test must be taken weekly to check the fine line of not have to much or to little of the prograf in the system.  If patient did not have the JC virus, blood test would be less frequent."
zovirax,Effective,heal herpeses and prevent from breacing in the feature
macrobid,Not Effective,None
seroquel,Effective,"decreases episodes of mania, and provides a full nights sleep."
carac,Effective,Carac is used once a day as a topical cream in order to remove pre cancerous cells.  It did a great job of removing all bad cells.  I used it before going to bed.  I only used it 2 weeks because I had the reaction quicker than most.
claritin,Not Effective,The drug cleared my sinuses but took some time to become effective after use. The effect only lasted about half a day. I would take this off and on for about 3 months.
actonel,Not Effective,Actonel helped my bone density increase the first two years.
exelon,Effective,"overall benefits were great. memory has not gotten worse and there is less frustration on my part. Makes my day much better. Although, I have peaks and
lows...my lows have been better."
remicade,Effective,Calmed my crohns and inflamations. Allowed me to eat more foods. Made bathroom trips easier and less painful
benicar,Effective,My BP is in a normal range when I take this medication. I only require a very low dose.
macrobid,Not Effective,none this stuff was awful -it hurt me -dont take it
claripel-cream,Not Effective,I did not have any benefits by using hydroquinone
adipex-p,Effective,"With in three days I felt the surge of energy that I expected. I no longer felt tired all the time. I was able to play with my kids more often and had the energy to work, clean, go to school, and still exercise for one hour a day. I felt alive and more like who I use to be. I'm happy again and currently have dropped 12 dress sizes thanks to my doctor and this medication he prescribed."
divigel,Effective,The Night sweats are almost non-existent now - occurring very irregularly and the vaginal dryness is remarkably better.
estrace,Effective,"The treatment benefits were huge - all hot flashes stopped within 1 week, skin dryness subsided, irritability was greatly reduced and energy levels are much higher."
effexor-xr,Not Effective,"I took it for three months and I did not feel any less depressed. I actually felt kind of paranois and ""out of it."" I did not fee any less depressed, in fact more anxious."
wellbutrin,Effective,"Experienced significant mood improvement in 2 weeks, increasingly more apparent over time. Where other medications had not worked, or had adverse side effects, Wellbutrin did not. This after several years of trial and error with other anti-depressants."
aciphex,Effective,My husband started taking Aciphex when it first came out because he could not take any of the others. He started getting better after few months and stopped taking it afew times because insurance would not approve it. He immediately became ill and ended up in the hospital. Now after 6 yrs my husband has no symptoms other than occasional acid reflux when eating anything with tomato sauce.
imitrex,Effective,"I have taken Imitrex off and on for over 15 years. I have migraine headaches. Typically one tablet of Imitrex gets rid of the headache, usually within 30 minutes."
wellbutrin,Not Effective,seemed to have a very mild calming effect
amoxil,Not Effective,Very little affects were felt on my throat
prinivil,Effective,blood pressure lowered and water retention was decreased. overall I had less headaches and sinus pressure issues.
propecia,Effective,Hair regrowth in crown area
oxycodone,Effective,treatment envolved a reduction of pain and provided the ability to sleep
renova,Not Effective,"I used the product to try to reduce previous sun damage as well as discoloration and wrinkles created by aging (I'm currently 50).  I feel the product did even out my skin tone at least somewhat however did not remove the larger areas of discoloration due to sun damage.  Overall the condition of my skin did improve, however the effects were not as dramatic as hoped.  This may be due to the discontinuation of the 0.05% formulation which would of course be more potent that the 0.02% that I could get.  I will try Retin A next time around to go for the 0.05% and see if results improve further."
lexapro,Effective,"I have no more panic attacks, it helped to reduce anxiety, to improve the mood. I feel the old myself again and can function well at work.Sometimes I still experience anxiety attacks but they are not severe. I highly recommend this drug due to minimum of side effects in comparison with other antidepressant drugs."
lexapro,Effective,"Before taking Lexapro, I had constant anxiety.  I wasn't haveing panic attacks on a regular basis, but I was having them one in awhile.  My anxiety presented itself more in constant worrying, waking up in the middle of the night and not being able to fall asleep, and feeling tired but restless all the time.  I was moody and impatient, and obsessed about little, insignificant things all of the time.  Once I started taking Lexapro, that all changed.  It did all go away completely, but i can manage the slight symptoms I experience now.  I am much happier, much more stable, but more successful in my life.  I know others on it (my husband), and they have experienced the same kind of success."
delestrogen,Effective,"Significantly reduced symptoms of menopause, including eliminated all hot flashes (as long as the drug is being taken), reduces skin dryness that occurred after hysterectomy, and preserved sex drive. 
preserve sex drive"
atenolol,Effective,"My heart rate was rapid (usually 110-130 bpm) and I frequently had feelings in my heart that left my short of breath for a few minutes.  My heart rate slowed down to normal (usually 70-85 bpm) and I very seldom have these episodes anymore.  I feel much better overall and I do not have that feeling of ""impending doom"".  Also my blood pressure is good and I do not have to take an extra medication for this problem."
inderal,Effective,"Miracle drug for anyone who's deathly afraid of giving speeches or oral presentations. Eliminates the whole butterflies-in-the-stomach feeling, racing heart, sweaty palms and allows you to focus on what your doing and do it properly rather than worry about how nervous you are."
retin-a-micro,Not Effective,None that I had experienced.
clobex,Effective,"This is the only treatment, besides cortizone shots, that had any effect.  My outbreaks consisted of opened , cracked sores (up to 9 at a time)on my fingers that were extremely painful. With a shot of cortizone every couple of years, Clobex takes care of the rest.  When I do not have an outbreak( and outbreaks are very mild if I treat them right away, I only use it a couple of times a week for prevention. I should mention that I need to be very careful and use gloves for many household cleaning tasks."
fluvoxamine,Not Effective,"None, especially surprising since the prescription name brand Luvox had been used previously, with great results.  The Luvox stopped all ruminations and obsessive worry, while the generic fluvoxamine seemed to do nothing, and did not help with sleep."
suboxone,Effective,"Was able to successfully, and completely, discontinue illicit use of heroin/opiates.  I did remain abstinent for a period of time w/o it, but no longer than 6-7 months.  Always at or before that point I would wind up relapsing again, with no good outcomes.  Have stayed opiate-free for 1 year, 9 months now, and continue suboxone treatment."
prilosec,Effective,disappearance of very severe symptoms of acid reflux and excessive stomach acid production which included ulceration on the esophagus and stomach lining.
lexapro,Effective,"maintain mood, decrease in depression, the combination of meds provided for a drcrease in hospitializations and lethality. More activity on a daily basis and a return to ""normal"" behaviot in re : to sleep patterns and appetite."
